num_robot_dir;num_exp_file;numTotalIterations;numMaxIterationsReachGoal + numMaxIterationsExitGoal;numMsgs;numTotalIterationsReachGoal;numTotalIterationsExitGoal;numMaxIterationsReachGoal;numMaxIterationsExitGoal;numTotalStalls
100;0;687654;13633;0;657427;30227;13187;446;0
100;1;786569;15070;0;755750;30819;14508;562;0
100;10;629488;12426;0;598917;30571;11967;459;0
100;11;660281;13232;0;629893;30388;12817;415;0
100;12;640637;12547;0;610119;30518;12079;468;0
100;13;678608;12830;0;647941;30667;12332;498;0
100;14;691357;13189;0;660113;31244;12749;440;0
100;15;615621;12941;0;584632;30989;12454;487;0
100;16;647464;12902;0;616824;30640;12429;473;0
100;17;664320;12665;0;633594;30726;12236;429;0
100;18;596624;11813;0;565962;30662;11340;473;0
100;19;681295;12819;0;651110;30185;12413;406;0
100;2;725602;13519;0;694920;30682;13081;438;0
100;20;656944;13045;0;626609;30335;12633;412;0
100;21;636384;12582;0;605936;30448;12100;482;0
100;22;656709;13109;0;625941;30768;12635;474;0
100;23;697076;14538;0;666311;30765;14014;524;0
100;24;548146;11165;0;518077;30069;10704;461;0
100;25;658293;12301;0;627027;31266;11864;437;0
100;26;614808;12084;0;584364;30444;11644;440;0
100;27;647616;13061;0;617141;30475;12597;464;0
100;28;697032;13944;0;665964;31068;13481;463;0
100;29;620751;12697;0;590188;30563;12272;425;0
100;3;644833;12525;0;614353;30480;12085;440;0
100;30;810398;15126;0;779530;30868;14692;434;0
100;31;667640;13261;0;636883;30757;12792;469;0
100;32;747167;14282;0;716286;30881;13812;470;0
100;33;727046;14520;0;696855;30191;14097;423;0
100;34;692560;13068;0;662043;30517;12631;437;0
100;35;692768;13479;0;662254;30514;13011;468;0
100;36;652546;12957;0;621079;31467;12436;521;0
100;37;721762;14126;0;691367;30395;13721;405;0
100;38;657054;13314;0;626645;30409;12892;422;0
100;39;611086;11909;0;580682;30404;11459;450;0
100;4;734539;14047;0;703810;30729;13575;472;0
100;5;671724;12913;0;641436;30288;12413;500;0
100;6;671027;12993;0;640562;30465;12549;444;0
100;7;651127;13179;0;620567;30560;12697;482;0
